id,audio_filepath,duration,raw_transcription,normalized_text,clean_sheng_text,language
local_sheng_000001,/home/ray/Desktop/mkuru/dataset/segmented/Recording_3/Recording_3_00000.wav,12.79,"Mkurugenzi Abel Mutua, Mkurugenzi Abel Mutua, Mkurugenzi Abel Mutua, Mkurugenzi Abel Mutua, Mkurugenzi Abel Mutua, Mkurugenzi Abel Mutua, Mkurugenzi Abel Mutua, Mkurugenzi Abel Mutua, Mkurugenzi Abel Mutua, Mkurugenzi Abel Mutua, Mkurugenzi Abel Mutua, Mkurugenzi Abel Mutua, Mkurugenzi Abel Mutua, Mkurugenzi Abel Mutua, Mkurugenzi Abel Mutua, Mkurugenzi Abel Mutua, Mkurugenzi Abel Mutua, Mkurugenzi Abel Mutua, Mkurugenzi Abel Mutua, Mkurugenzi Abel Mutua, Mkurugenzi Abel Mutua, Mkurugenzi Abel Mutua, Mkurugenzi Abel Mutua, Mkurugenzi Abel Mutua, Mkurugenzi Abel Mut","Mkurugenzi Abel Mutua, Mkurugenzi Abel Mut","Mkurugenzi Abel Mutua, Mkurugenzi Abel Mut",sw-KE
local_sheng_000002,/home/ray/Desktop/mkuru/dataset/segmented/Recording_3/Recording_3_00001.wav,5.47,Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua.,Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua.,Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua.,sw-KE
local_sheng_000003,/home/ray/Desktop/mkuru/dataset/segmented/Recording_4/Recording_4_00000.wav,12.62,Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua.,Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua.,Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua.,sw-KE
local_sheng_000004,/home/ray/Desktop/mkuru/dataset/segmented/Recording_4/Recording_4_00001.wav,10.31,Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua.,Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua.,Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua.,sw-KE
local_sheng_000005,/home/ray/Desktop/mkuru/dataset/segmented/Recording_5/Recording_5_00000.wav,3.03,Mkurugenzi Abel Mutua.,Mkurugenzi Abel Mutua.,Mkurugenzi Abel Mutua.,sw-KE
local_sheng_000006,/home/ray/Desktop/mkuru/dataset/segmented/Sheng0002/Sheng0002_00000.wav,12.55,"May be interesting that you discovered about your family only because there was a big family occasion. Onajwa manenuha family na kuanga a little bit sensitive, but there's a lot of good that comes with it manenuha.","May be interesting that you discovered about your family only because there was a big family occasion. Onajwa manenuha family na kuanga a little bit sensitive, but there's a lot of good that comes with it manenuha.","May be interesting that you discovered about your family only because there was a big family occasion. Onajwa manenuha family na kuanga a little bit sensitive, but there's a lot of good that comes with it manenuha.",sw-KE
local_sheng_000007,/home/ray/Desktop/mkuru/dataset/segmented/Sheng0002/Sheng0002_00001.wav,9.8,"We all love it when something like, you know, the whole family is getting together for whatever reason, pleasant and pleasant. Fami yongasina paterna every once in a while man, but...","We all love it when something like, you know, the whole family is getting together for whatever reason, pleasant and pleasant. Fami yongasina paterna every once in a while man, but...","We all love it when something like, you know, the whole family is getting together for whatever reason, pleasant and pleasant. Fami yongasina paterna every once in a while man, but...",sw-KE
local_sheng_000008,/home/ray/Desktop/mkuru/dataset/segmented/Sheng0002/Sheng0002_00002.wav,12.41,One thing you can bet on is we've all come to learn some very interesting things about our families during these same occasions and I don't know if you got wind of what went down with the late stupid boy.,One thing you can bet on is we've all come to learn some very interesting things about our families during these same occasions and I don't know if you got wind of what went down with the late stupid boy.,One thing you can bet on is we've all come to learn some very interesting things about our families during these same occasions and I don't know if you got wind of what went down with the late stupid boy.,sw-KE
local_sheng_000009,/home/ray/Desktop/mkuru/dataset/segmented/Sheng0002/Sheng0002_00003.wav,9.34,Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua za Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua.,Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua.,Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua.,sw-KE
local_sheng_000010,/home/ray/Desktop/mkuru/dataset/segmented/Sheng0002/Sheng0002_00004.wav,9.84,Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua.,Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua.,Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua na stori za Mkurugenzi Abel Mutua.,sw-KE
