pair,original_clip,paired_audio,paired_transcript
1,clip_0000.mp3,audio_1_for_script_1.mp3,transcript_1_for_audio_1.txt
2,clip_0001.mp3,audio_2_for_script_2.mp3,transcript_2_for_audio_2.txt
3,clip_0002.mp3,audio_3_for_script_3.mp3,transcript_3_for_audio_3.txt
4,clip_0003.mp3,audio_4_for_script_4.mp3,transcript_4_for_audio_4.txt
5,clip_0004.mp3,audio_5_for_script_5.mp3,transcript_5_for_audio_5.txt
6,clip_0005.mp3,audio_6_for_script_6.mp3,transcript_6_for_audio_6.txt
7,clip_0006.mp3,audio_7_for_script_7.mp3,transcript_7_for_audio_7.txt
8,clip_0007.mp3,audio_8_for_script_8.mp3,transcript_8_for_audio_8.txt
9,clip_0008.mp3,audio_9_for_script_9.mp3,transcript_9_for_audio_9.txt
10,clip_0009.mp3,audio_10_for_script_10.mp3,transcript_10_for_audio_10.txt
11,clip_0010.mp3,audio_11_for_script_11.mp3,transcript_11_for_audio_11.txt
12,clip_0011.mp3,audio_12_for_script_12.mp3,transcript_12_for_audio_12.txt
13,clip_0012.mp3,audio_13_for_script_13.mp3,transcript_13_for_audio_13.txt
14,clip_0013.mp3,audio_14_for_script_14.mp3,transcript_14_for_audio_14.txt
15,clip_0014.mp3,audio_15_for_script_15.mp3,transcript_15_for_audio_15.txt
16,clip_0015.mp3,audio_16_for_script_16.mp3,transcript_16_for_audio_16.txt
17,clip_0016.mp3,audio_17_for_script_17.mp3,transcript_17_for_audio_17.txt
18,clip_0017.mp3,audio_18_for_script_18.mp3,transcript_18_for_audio_18.txt
19,clip_0018.mp3,audio_19_for_script_19.mp3,transcript_19_for_audio_19.txt
20,clip_0019.mp3,audio_20_for_script_20.mp3,transcript_20_for_audio_20.txt
21,clip_0020.mp3,audio_21_for_script_21.mp3,transcript_21_for_audio_21.txt
22,clip_0021.mp3,audio_22_for_script_22.mp3,transcript_22_for_audio_22.txt
23,clip_0022.mp3,audio_23_for_script_23.mp3,transcript_23_for_audio_23.txt
24,clip_0023.mp3,audio_24_for_script_24.mp3,transcript_24_for_audio_24.txt
25,clip_0024.mp3,audio_25_for_script_25.mp3,transcript_25_for_audio_25.txt
26,clip_0025.mp3,audio_26_for_script_26.mp3,transcript_26_for_audio_26.txt
27,clip_0026.mp3,audio_27_for_script_27.mp3,transcript_27_for_audio_27.txt
28,clip_0027.mp3,audio_28_for_script_28.mp3,transcript_28_for_audio_28.txt
29,clip_0028.mp3,audio_29_for_script_29.mp3,transcript_29_for_audio_29.txt
30,clip_0029.mp3,audio_30_for_script_30.mp3,transcript_30_for_audio_30.txt
31,clip_0030.mp3,audio_31_for_script_31.mp3,transcript_31_for_audio_31.txt
32,clip_0031.mp3,audio_32_for_script_32.mp3,transcript_32_for_audio_32.txt
33,clip_0032.mp3,audio_33_for_script_33.mp3,transcript_33_for_audio_33.txt
34,clip_0033.mp3,audio_34_for_script_34.mp3,transcript_34_for_audio_34.txt
35,clip_0034.mp3,audio_35_for_script_35.mp3,transcript_35_for_audio_35.txt
36,clip_0035.mp3,audio_36_for_script_36.mp3,transcript_36_for_audio_36.txt
37,clip_0036.mp3,audio_37_for_script_37.mp3,transcript_37_for_audio_37.txt
38,clip_0037.mp3,audio_38_for_script_38.mp3,transcript_38_for_audio_38.txt
39,clip_0038.mp3,audio_39_for_script_39.mp3,transcript_39_for_audio_39.txt
40,clip_0039.mp3,audio_40_for_script_40.mp3,transcript_40_for_audio_40.txt
41,clip_0040.mp3,audio_41_for_script_41.mp3,transcript_41_for_audio_41.txt
42,clip_0041.mp3,audio_42_for_script_42.mp3,transcript_42_for_audio_42.txt
