id,audio_filepath,duration,raw_transcription,normalized_text,clean_sheng_text,language
abel_mutua_000001,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00000.wav,12.25,"Niaje Wakurugenzi kabiliatumge po kipini maze nikona, a super special announcement. The second edition of Becoming CEO Live, when it happened this weekend maze, and I cannot wait.","Niaje Wakurugenzi kabiliatumge po kipini maze nikona, a super special announcement. The second edition of Becoming CEO Live, when it happened this weekend maze, and I cannot wait.","Niaje Wakurugenzi kabiliatumge po kipini maze nikona, a super special announcement. The second edition of Becoming CEO Live, when it happened this weekend maze, and I cannot wait.",sw-KE
abel_mutua_000002,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00001.wav,11.61,"Hei, hii arila ondi ni muechechew, na bagatime tige apro. Hei leku pika, li na piku wa pale ni noma, atari sana. Ehm, MD, arrekecho hospital ma solo kopata kwa in the izal.","Hei, hii arila ondi ni muechechew, na bagatime tige apro. Hei leku pika, li na piku wa pale ni noma, atari sana. Ehm, MD, arrekecho hospital ma solo kopata kwa in the izal.","Hei, hii arila ondi ni muechechew, na bagatime tige apro. Hei leku pika, li na piku wa pale ni noma, atari sana. Ehm, MD, arrekecho hospital ma solo kopata kwa in the izal.",sw-KE
abel_mutua_000003,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00002.wav,13.12,"Dennis Mora, bossipale denri atakwa in the his house na bada naskiya pununu. Duru za pominika zna semakunenda kwa na another surprise guest. Siko shuwa, but niduru za pominika zna.","Dennis Mora, bossipale denri atakwa in the his house na bada naskiya pununu. Duru za pominika zna semakunenda kwa na another surprise guest. Siko shuwa, but niduru za pominika zna.","Dennis Mora, bossipale denri atakwa in the his house na bada naskiya pununu. Duru za pominika zna semakunenda kwa na another surprise guest. Siko shuwa, but niduru za pominika zna.",sw-KE
abel_mutua_000004,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00003.wav,11.6,"Na saima hibon, na mnose uro tainizu na kuwaga na kuwanu nika. Ya, so chukwa tiki tiya kwa pala na kwa kia linka pwa kwa description na piya nita ipin kwa comment Ngiya pala na pata tiki tiya kwa pala mad fan.","Na saima hibon, na mnose uro tainizu na kuwaga na kuwanu nika. Ya, so chukwa tiki tiya kwa pala na kwa kia linka pwa kwa description na piya nita ipin kwa comment Ngiya pala na pata tiki tiya kwa pala mad fan.","Na saima hibon, na mnose uro tainizu na kuwaga na kuwanu nika. Ya, so chukwa tiki tiya kwa pala na kwa kia linka pwa kwa description na piya nita ipin kwa comment Ngiya pala na pata tiki tiya kwa pala mad fan.",sw-KE
abel_mutua_000005,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00004.wav,12.08,"Eee, pesaki drogo na ingiapale, tu na toke jemz, ni jemz tuza biyashara, especially if you're a business owner, you're an offheb hanoo, ama you're an aspiring business, bas wepuja.","Eee, pesaki drogo na ingiapale, tu na toke jemz, ni jemz tuza biyashara, especially if you're a business owner, you're an offheb hanoo, ama you're an aspiring business, bas wepuja.","Eee, pesaki drogo na ingiapale, tu na toke jemz, ni jemz tuza biyashara, especially if you're a business owner, you're an offheb hanoo, ama you're an aspiring business, bas wepuja.",sw-KE
abel_mutua_000006,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00005.wav,7.66,"Kujabana tu skize, skize mamboja, bihashara, bihashara paliao sila. Aposawa dao ka na tuwei to sila, tu na nene kuni.","Kujabana tu skize, skize mamboja, bihashara, bihashara paliao sila. Aposawa dao ka na tuwei to sila, tu na nene kuni.","Kujabana tu skize, skize mamboja, bihashara, bihashara paliao sila. Aposawa dao ka na tuwei to sila, tu na nene kuni.",sw-KE
abel_mutua_000007,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00006.wav,10.94,"Wakurugenzi, mkurugenzi, minisodes na kamake, kablas jengia kwa hekawana, lazima tofanyaile kitu sudu, man, lazima to skumea, super shout out.","Wakurugenzi, Mkurugenzi, minisodes na kamake, kablas jengia kwa hekawana, lazima tofanyaile kitu sudu, man, lazima to skumea, super shout out.","Wakurugenzi, Mkurugenzi, minisodes na kamake, kablas jengia kwa hekawana, lazima tofanyaile kitu sudu, man, lazima to skumea, super shout out.",sw-KE
abel_mutua_000008,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00007.wav,25.15,"To a super custom of the day na leo ni nan, other than Itaba David, alo. All the way kutokabo angotizi, alo. Aa, nice. Hey, apa deri kanapa ekele songia. Nipe tano na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na","To a super custom of the day na leo ni nan, other than Itaba David, alo. All the way kutokabo angotizi, alo. Aa, nice. Hey, apa deri kanapa ekele songia. Nipe tano na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na","To a super custom of the day na leo ni nan, other than Itaba David, alo. All the way kutokabo angotizi, alo. Aa, nice. Hey, apa deri kanapa ekele songia. Nipe tano na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na na",sw-KE
abel_mutua_000009,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00008.wav,12.13,"Eyo lazima, eyo lazima niku guzia, apakidogo. Izin deyo vitu zili kwa zina tukumbusha tizi, tukigro. Kwa na kumbuka chaneli liku enituwa East African TV.","Eyo lazima, eyo lazima niku guzia, apakidogo. Izin deyo vitu zili kwa zina tukumbusha tizi, tukigro. Kwa na kumbuka chaneli liku enituwa East African TV.","Eyo lazima, eyo lazima niku guzia, apakidogo. Izin deyo vitu zili kwa zina tukumbusha tizi, tukigro. Kwa na kumbuka chaneli liku enituwa East African TV.",sw-KE
abel_mutua_000010,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00009.wav,11.55,"E li kwa na kipindi na itwa bongo, bongo, bongo, bongo something, isi bongo 5? Isi a bongo flavor. A bongo flavor sana umziki wao.","E li kwa na kipindi na itwa bongo, bongo, bongo, bongo something, isi bongo 5? Isi a bongo flavor. A bongo flavor sana umziki wao.","E li kwa na kipindi na itwa bongo, bongo, bongo, bongo something, isi bongo 5? Isi a bongo flavor. A bongo flavor sana umziki wao.",sw-KE
