id,audio,reference,hypothesis,wer,cer,rtf,inference_ms
1,audio_1_for_script_1.mp3,"Hauskii yenye me nliona ni upuzi ni dem fulani nli
tumeenda KFC.","Oski nia nia nia nilona ni upuzini, din fly intremenda, kfc.",0.8333,0.4444,3.2198,9585.2
2,audio_2_for_script_2.mp3,Anatafuna mifupa. But hizo ni mifupa za KFC.,Tafuna mifupa. Abadizu mupa za kevs.,0.75,0.4048,2.5168,7522.8
3,audio_3_for_script_3.mp3,Ni tamu. Eeeh.,"Niaje chief, form ni gani leo mtaani?",2.0,2.4167,2.4724,7390.0
4,audio_4_for_script_4.mp3,Laughs,"Ha, ha, ha, ha, ha, ha, ha.",7.0,3.0,2.8479,8512.3
5,audio_5_for_script_5.mp3,Amesema ni tamu. Kwani ulienda na yeye?,,1.0,1.0,2.5371,7583.5
6,audio_6_for_script_6.mp3,Eeeii! Kwa life umeshai kuwa kwa position yenye umeso,Kwa leifu shei kwa kwa posisyon na ma...,0.7778,0.4423,2.1825,6523.4
7,audio_7_for_script_7.mp3,Umesota? True kabisa. Crazy.,"Wata, true kabisa kresi.",0.5,0.36,2.0819,6222.7
8,audio_8_for_script_8.mp3,Ata sai nimesota. Mafuta.,"Arasa hini, mesa hote. Gani na fukani.",1.75,0.8261,2.1849,6530.7
9,audio_9_for_script_9.mp3,Uko na memory moja.,Ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha,8.5,5.3333,2.5039,7484.1
10,audio_10_for_script_10.mp3,Me nishai osha nyumba nzima ndio,"Niaje chief, nisho vile tunaingia tao na nganya.",1.3333,1.0312,2.3151,6919.9
11,audio_11_for_script_11.mp3,Ndio nitafute kama naeza ongeza kwa 7 bob ndio ifike 10 bob.,"Itaftika, nezaongia za kwa 7 bopif ke 10 bopif.",0.75,0.4576,2.2429,6704.0
12,audio_12_for_script_12.mp3,Nibuy mandazi. Eeh! 3 bob? So ilikuwa,,1.0,1.0,2.1671,6477.5
13,audio_13_for_script_13.mp3,3 bob. Kwani ulilipa 3 bob. Aje? Kwani huyo msee alikuwa na cha,"Balipatribo, balipatribo.",1.0,0.7833,2.0794,6215.4
14,audio_14_for_script_14.mp3,nge? Katia tu huyu kidogo then umalize.,"Kachia ukido, goto malimu.",1.0,0.5676,2.0484,6122.6
15,audio_15_for_script_15.mp3,Alikuwa na change? Ulikuwa unatafuta? Nlikuwa,Ali kuna chains? Ulu kuna tafta?,1.0,0.5116,2.1363,6385.4
16,audio_16_for_script_16.mp3,Nlicheki ploti fulani wameprint wakaandika,"Niko fiti na mbogi, nisho vile tunaingia tao na nganya.",2.0,0.9286,2.3351,6979.5
17,audio_17_for_script_17.mp3,"Hapo kwa gate. Unajua kwa gate hapo hivyo, ni gate zile unainama.","Ui wu kwa gero, jo kwa getapu ii wu ni gani lezo na inama.",0.9167,0.4839,2.3802,7114.5
18,audio_18_for_script_18.mp3,"So kabla uiname, hii hapa unaangalia hapa kabla uiname.",So kabluina mi iya pupuna nga liya pa kabluina mi ndo.,1.1111,0.4528,2.2722,6791.5
19,audio_19_for_script_19.mp3,"Make a notice. Hizo, hizo ni, hizo ploti ni nini ya","Nika, notice. Iso, iso, iso, ploti, ni niya.",0.7273,0.3333,2.2907,6847.0
20,audio_20_for_script_20.mp3,Uko hapo nje hapo kwa gate. Zinalilia hapa tttt.,"Toki nuko indi apa kwa geto. E, znalili apa zore ti...",1.1111,0.5,2.3278,6957.8
21,audio_21_for_script_21.mp3,Bana aah. Zote tu pamoja. So hapa alikuwa ameandi,Bala Zoda tu pamoja Sapa lu komendi,0.7778,0.383,2.226,6653.5
22,audio_22_for_script_22.mp3,ka. Ukichelewa kulipa takataka.,Ka ukiche lokuli pata kataka?,1.0,0.2759,2.0642,6169.9
23,audio_23_for_script_23.mp3,Laughs,"Niaje chief, nisho vile tunaingia tao na nganya.",8.0,7.1667,2.2591,6752.5
24,audio_24_for_script_24.mp3,Laughs,Kwao ku na nganya jituri?,5.0,3.5,2.0474,6119.8
25,audio_25_for_script_25.mp3,Kwao kunakaa fity,Kupapu na ka fiti.,1.3333,0.5294,1.9814,5922.3
26,audio_26_for_script_26.mp3,Unajua vile nlikuwa excited kukuja,Ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha,44.6,19.4118,6.8661,20522.9
27,audio_27_for_script_27.mp3,Hapa leo juu yako. Walai? si ushafika. We mbwa(mbwa is vulgar).,"Pa leo jubi ya kwa? Olai, su shafi ka.",0.9167,0.5862,2.2557,6742.3
