id,clip_filename,duration,reviewed_sheng_transcript,original_asr_transcript,audio_filepath,source_origin
sheng_rev_0001,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00000.wav,12.25,Eyo wakurugenzi kabla tuingie kwa kipindi manze nikona a super special announcement.The second edition of Becoming CEO Live inahappen this weekend manze.And I cannot wait.,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00000.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0002,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00002.wav,13.12,Dennis Mwaura,bosi pale Denri atakuwa in the house.na bado naskia fununu.nduru za kuaminika zinasema kunaweza kua na another surprise guest siko sure,but ni nduru za kuaminika.,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00002.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0003,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00003.wav,11.6,Na saima hibon. Namoso yu tainz na kuwaga nika. Ya. So, chukua tikiti yako pala na kwekiya linka pukwa description na piya nita ipin kwa comment. Ngiya pala yu na pata tiki ti ya ko pala yu mad fan.","Na saima hibon. Namoso yu tainz na kuwaga na kuwaga ni nika. Ya. So, chukwa tiki ti ya ko pala na kwekiya linka pukwa description na piya nita ipin kwa comment. Ngiya pala yu na pata tiki ti ya ko pala yu mad fan.",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00003.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0004,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00004.wav,12.08,"Eee, pesa ki dogo wana ingiapale, tunatoa gems, ni gems, tunatoa gems, ni gems tuza bi ashera, especially if you're a business owner, you're an offhead hanoa, ama you're an aspiring business, pas wei puja.","Eee, pesa ki dogo wana ingiapale, tu na toke jemms, ni jemms tuza bi ashera, especially if you're a business owner, you're an offhead hanoa, ama you're an aspiring business, pas wei puja.",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00004.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0005,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00005.wav,7.66,"Kujabana tu skiza emambuaya, bihashara paliao sila. Aposawa daula, cannot wait to see you. Tuna na ekon.","Kujabana tu skiza skiza emambuaya, bihashara bihashara paliao sila. Aposawa daula, cannot wait to see you. Tuna na ekon.",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00005.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0006,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00009.wav,11.55,Ili kwa na kipindi na itwa bongo,"Ili kwa na kipindi na itwa bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo, bongo,",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00009.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0007,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00014.wav,13.19,"Ah, Safi. All right, David Di Tabas. Shukran sa namaze wa bongo kwanza poleni jo na jo nili kwa ni me panga ningi e kule iko akati muli ni ali kapale. Nili kwa ni mejipanga kabisa nili kwa ni lakini.","Ah, Safi. All right, David Di Tabas. Shukran sa namaze wa bongo kwanza poleni jo na jo nili kwa ni me panga ningi e kule iko akati muli ni ali kapale. Nili kwa ni mejipanga kabisa, kabisa kabisa nili kwa ni lakini.",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00014.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0008,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00015.wav,13.16,Mamboa ya kaenda jinzi muliwona Uchagusi bana ulikudiana mamboa haki Kabidi tu mepigia pause ki dogo Batasa nkoshu wa kumetulia Situ naiza ingiya sas Endo gui ingiya sas,Mamboa ya kaenda jinzi muliwona Uchagusi bana ulikudiana mamboa haki Kabidi tu mepigia pause ki dogo Batasa nkoshu wa kumetulia Situ naiza ingiya sas Endo gui ingiya sas,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00015.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0009,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00016.wav,13.11,"This is Russia. Okay. Sao. Eeeem... Ya. Eee, na anybody else bonyalingi ya kwa sayita kufanya mamboa ya ke maze, bariki wa sana. Eee, na ziana. Isa sayina ito Aivori. Mmm.","This is Russia. Okay. Sao. Eeeem... Ya. Eee, na anybody else bonyalingi ya kwa sayita kufanya mamboa ya ke maze, bariki wa sana. Eee, na ziana. Isa sayina ito Aivori. Mmm.",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00016.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
sheng_rev_0010,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00017.wav,12.88,"Sasa ukisha piga ivory ako kuna top ingine, kuna ii kota zip, almost simila colour, almost. Sasa una toa ii, una piga ii o kudawavali ako episodeingine, muta iona, yani.","Sasa ukisha piga aivori ako kuna topingine, kuna ii kota zip, almost simila kala, almost. Sasa una toa ii, una piga ii o kudawavali ako episodeingine, muta iona, yani.",/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00017.wav,6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen
