id,audio_filepath,duration,clean_sheng_text,normalized_text,language
sheng_clip_00001,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00000.wav,12.25,eyo wakurugenzi kabla tuingie kwa kipindi manze kuna a super special announcement umh the second edition of becoming ceo live inahappen this weekend manze and i cannot wait,eyo wakurugenzi kabla tuingie kwa kipindi manze kuna a super special announcement umh the second edition of becoming ceo live inahappen this weekend manze and i cannot wait,sw-KE
sheng_clip_00003,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00002.wav,13.12,dennis mwaura bosi pale denri atakuwa in the his house na bado naskia fununu nduru za kuaminika zinasema kunaweza kuwa na another surprise guest siko sure but ni nduru za kuaminika,dennis mwaura bosi pale denri atakuwa in the his house na bado naskia fununu nduru za kuaminika zinasema kunaweza kuwa na another surprise guest siko sure but ni nduru za kuaminika,sw-KE
sheng_clip_00004,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00003.wav,11.6,nasema hivo na most pf the time zinakuwanga za kuaminika ya so chukua tikiti yako pala nakuwekea kwekiya link hapo kwa decription na pia nitaipin kwa comment ingia pale unaoata tikiti yako pale mad fun,nasema hivo na most pf the time zinakuwanga za kuaminika ya so chukua tikiti yako pala nakuwekea kwekiya link hapo kwa decription na pia nitaipin kwa comment ingia pale unaoata tikiti yako pale mad fun,sw-KE
sheng_clip_00005,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00004.wav,12.08,eee pesa kidogo unaingia pale tunapokea gems ni gems tu za biashara especially if you are a business owner you are an entrepreneur ama you are an aspiring business person wewe kuja,eee pesa kidogo unaingia pale tunapokea gems ni gems tu za biashara especially if you are a business owner you are an entrepreneur ama you are an aspiring business person wewe kuja,sw-KE
sheng_clip_00006,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00005.wav,7.66,kuja bana tuskize skize mambo biashara biashara pale au sio hapo sawa wadau i cannot wait to see you tuonane on,kuja bana tuskize skize mambo biashara biashara pale au sio hapo sawa wadau i cannot wait to see you tuonane on,sw-KE
sheng_clip_00010,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00009.wav,11.55,eeh ilikuwa na kipindi iinaitwa bongo bongo something is it bongo five aah bongo flavour sasa ni hio muziki wao,eeh ilikuwa na kipindi iinaitwa bongo bongo something is it bongo five aah bongo flavour sasa ni hio muziki wao,sw-KE
sheng_clip_00015,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00014.wav,13.19,ah safi all right david tabas shukran sana manze wabongo kwanza poleni jo najua nilikuwa nimepanga ningie kule kwa wakati mlinialika pale na nilikuwa nimejipanga kabisa kabisa kabisa nilikuwa ni lakini,ah safi all right david tabas shukran sana manze wabongo kwanza poleni jo najua nilikuwa nimepanga ningie kule kwa wakati mlinialika pale na nilikuwa nimejipanga kabisa kabisa kabisa nilikuwa ni lakini,sw-KE
sheng_clip_00016,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00015.wav,13.16,mambo yakaenda jinsi mlivyoona uchagusi bana ulikuja na mambo yake ikabidi tumepiga pause kidogo but sasa niko sure kumetulia si tunaweza kuingia sasa ndio kuingia sasa,mambo yakaenda jinsi mlivyoona uchagusi bana ulikuja na mambo yake ikabidi tumepiga pause kidogo but sasa niko sure kumetulia si tunaweza kuingia sasa ndio kuingia sasa,sw-KE
sheng_clip_00017,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00016.wav,13.11,this is arusha okay sawa eeeem yah eee na anybody else mwenye aliingia kwa site akafanya mambo yake manze barikiwa sana eeh mnaziona hii sasa inaitwa ivory,this is arusha okay sawa eeeem yah eee na anybody else mwenye aliingia kwa site akafanya mambo yake manze barikiwa sana eeh mnaziona hii sasa inaitwa ivory,sw-KE
sheng_clip_00018,/home/ray/Desktop/mkuru/dataset/segmented/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen/6vNZzV0PYsQ_Enter_The_Dragon____Mkurugen_00017.wav,12.88,sasa ukishapiga ivory yako kuna top ingine kuna hii quarter zip almost a similar colour almost sasa una toa hii unapiga hiyo nitawavalia kwa episode ingine mtaiona yaani,sasa ukishapiga ivory yako kuna top ingine kuna hii quarter zip almost a similar colour almost sasa una toa hii unapiga hiyo nitawavalia kwa episode ingine mtaiona yaani,sw-KE
